COMPUTED FEM SOLUTION:
phi[265] = 4.188335
phi[266] = 4.228542
phi[267] = 4.268738
phi[268] = 4.308924
phi[269] = 4.349101
phi[270] = 4.389267
phi[271] = 4.429425
phi[272] = 4.469575
phi[273] = 4.509716
phi[274] = 4.549850
phi[275] = 4.589976
phi[276] = 4.630095
phi[277] = 4.670207
phi[278] = 4.710313
phi[279] = 4.750412
phi[280] = 4.790505
phi[281] = 4.830592
phi[282] = 4.870674
phi[283] = 4.910750
phi[284] = 4.950821
phi[285] = 4.990886
phi[286] = 5.030947
phi[287] = 5.071003
phi[288] = 5.111054
phi[289] = 5.151101
phi[290] = 5.191143
phi[291] = 5.231181
phi[292] = 5.271215
phi[293] = 5.311245
phi[294] = 5.351270
phi[295] = 5.391292
phi[296] = 5.431309
phi[297] = 5.471323
phi[298] = 5.511333
phi[299] = 5.551338
phi[300] = 5.591340
phi[301] = -4.836430
phi[302] = -4.806438
phi[303] = -4.776461
phi[304] = -4.746498
phi[305] = -4.716551
phi[306] = -4.686618
phi[307] = -4.656700
phi[308] = -4.626797
phi[309] = -4.596909
phi[310] = -4.567037
phi[311] = -4.537180
phi[312] = -4.507339
phi[313] = -4.477514
phi[314] = -4.447704
phi[315] = -4.417910
phi[316] = -4.388133
phi[317] = -4.358372
phi[318] = -4.328628
phi[319] = -4.298901
phi[320] = -4.269191
phi[321] = -4.239499
phi[322] = -4.209825
phi[323] = -4.180169
phi[324] = -4.150531
phi[325] = -4.120913
phi[326] = -4.091314
phi[327] = -4.061734
phi[328] = -4.032175
phi[329] = -4.002636
phi[330] = -3.973119
phi[331] = -3.943623
phi[332] = -3.914149
phi[333] = -3.884698
phi[334] = -3.855271
phi[335] = -3.825867
phi[336] = -3.796488
phi[337] = -3.767135
phi[338] = -3.737807
phi[339] = -3.708505
phi[340] = -3.679232
phi[341] = -3.649986
phi[342] = -3.620770
phi[343] = -3.591584
phi[344] = -3.562428
phi[345] = -3.533305
phi[346] = -3.504214
phi[347] = -3.475158
phi[348] = -3.446137
phi[349] = -3.417152
phi[350] = -3.388204
phi[351] = -3.359296
phi[352] = -3.330427
phi[353] = -3.301600
phi[354] = -3.272816
phi[355] = -3.244076
phi[356] = -3.215382
phi[357] = -3.186736
phi[358] = -3.158140
phi[359] = -3.129596
phi[360] = -3.101104
phi[361] = -3.072668
phi[362] = -3.044290
phi[363] = -3.015972
phi[364] = -2.987717
phi[365] = -2.959526
phi[366] = -2.931403
phi[367] = -2.903351
phi[368] = -2.875373
phi[369] = -2.847471
phi[370] = -2.819650
phi[371] = -2.791913
phi[372] = -2.764264
phi[373] = -2.736707
phi[374] = -2.709246
phi[375] = -2.681887
phi[376] = -2.654634
phi[377] = -2.627494
phi[378] = -2.600472
phi[379] = -2.573575
phi[380] = -2.546810
phi[381] = -2.520185
phi[382] = -2.493707
phi[383] = -2.467386
phi[384] = -2.441232
phi[385] = -2.415257
phi[386] = -2.389472
phi[387] = -2.363894
phi[388] = -2.338537
phi[389] = -2.313419
phi[390] = -2.288562
phi[391] = -2.263991
phi[392] = -2.239734
phi[393] = -2.215827
phi[394] = -2.192313
phi[395] = -2.169246
